date,SlowD,SlowK
2022-05-24,86.0405,83.7861
2022-04-29,89.2349,84.6539
2022-03-31,89.965,89.6815
2022-02-28,90.0303,93.3693
2022-01-31,84.0707,86.844
2021-12-31,73.8595,89.8776
2021-11-30,56.6369,75.4905
2021-10-29,47.1713,56.2103
2021-09-30,49.8032,38.2099
2021-08-31,61.3017,47.0936
2021-07-30,70.5338,64.1063
2021-06-30,75.7021,72.7054
2021-05-28,77.6875,74.7898
2021-04-30,76.924,79.6111
2021-03-31,72.8405,78.6616
2021-02-26,63.1148,72.4995
2021-01-29,48.8561,67.3605
2020-12-31,33.8008,49.4844
2020-11-30,30.3664,29.7233
2020-10-30,40.2269,22.1945
2020-09-30,53.6287,39.1812
2020-08-31,60.8406,59.3049
2020-07-31,57.4346,62.4
2020-06-30,47.5511,60.817
2020-05-29,32.2209,49.0867
2020-04-30,25.9143,32.7497
2020-03-31,29.619,14.8263
2020-02-28,42.9894,30.1669
2020-01-31,47.9099,43.8638
2019-12-31,46.9072,54.9374
2019-11-29,45.9125,44.9283
2019-10-31,52.7052,40.8557
2019-09-30,61.1581,51.9536
2019-08-30,66.2898,65.3063
2019-07-31,67.0279,66.2145
2019-06-28,71.5329,67.3486
2019-05-31,73.5522,67.5205
2019-04-30,69.5419,79.7297
2019-03-29,59.676,73.4063
2019-02-28,48.0677,55.4897
2019-01-31,45.0564,50.132
2018-12-31,42.2258,38.5814
2018-11-30,49.9509,46.4558
2018-10-31,58.0921,41.6401
2018-09-28,70.4916,61.7569
2018-08-31,75.0814,70.8794
2018-07-31,70.4003,78.8385
2018-06-29,57.2273,75.5261
2018-05-31,44.9293,56.8361
2018-04-30,46.3853,39.3196
2018-03-29,62.1903,38.632
2018-02-28,78.8183,61.2041
2018-01-31,87.8863,86.7349
2017-12-29,85.4758,88.5158
2017-11-30,81.1404,88.4081
2017-10-31,68.1312,79.5036
2017-09-29,50.9616,75.5096
2017-08-31,30.4837,49.3805
2017-07-31,20.5101,27.9947
2017-06-30,25.2523,14.076
2017-05-31,39.6854,19.4597
2017-04-28,59.1615,42.2214
2017-03-31,73.0804,57.3753
2017-02-28,83.7446,77.8878
2017-01-31,84.081,83.9783
2016-12-30,79.2142,89.3676
2016-11-30,72.2839,78.8969
2016-10-31,72.8905,69.3779
2016-09-30,79.9552,68.5769
2016-08-31,88.7721,80.7166
2016-07-29,92.4266,90.5722
2016-06-30,87.0909,95.0276
2016-05-31,75.9479,91.6802
2016-04-29,64.1902,74.5648
2016-03-31,62.2662,61.5987
2016-02-29,65.8527,56.4071
2016-01-29,65.6422,68.7927
2015-12-31,55.7432,72.3581
2015-11-30,37.6781,55.7758
2015-10-30,22.6512,39.0956
2015-09-30,14.5326,18.1628
2015-08-31,22.4029,10.695
2015-07-31,36.5303,14.7401
2015-06-30,49.6583,41.7737
2015-05-29,45.9209,53.0772
2015-04-30,39.2098,54.124
2015-03-31,28.6022,30.5614
2015-02-27,29.8761,32.9439
2015-01-30,26.095,22.3012
2014-12-31,33.0815,34.3831
2014-11-28,38.8339,21.6005
2014-10-31,58.198,43.2609
2014-09-30,70.9197,51.6402
2014-08-29,82.7306,79.6929
2014-07-31,82.6197,81.426
2014-06-30,77.6318,87.073
2014-05-30,61.073,79.3601
2014-04-30,50.2609,66.4622
2014-03-31,47.0673,37.3966
2014-02-28,58.1369,46.9239
2014-01-31,61.7022,56.8815
2013-12-31,60.0717,70.6054
2013-11-29,58.5323,57.6196
2013-10-31,59.5738,51.99
2013-09-30,64.8149,65.9873
2013-08-30,66.8636,60.744
2013-07-31,76.0082,67.7133
2013-06-28,84.9094,72.1334
2013-05-31,90.7868,88.1778
2013-04-30,86.5451,94.4171
2013-03-28,72.8883,89.7655
2013-02-28,58.4232,75.4528
2013-01-31,53.9751,53.4467
2012-12-31,63.801,46.37
2012-11-30,78.6808,62.1085
2012-10-31,85.1137,82.9244
2012-09-28,75.5908,91.0095
2012-08-31,59.955,81.4073
2012-07-31,48.9279,54.3556
2012-06-29,56.007,44.1021
2012-05-31,67.6382,48.326
2012-04-30,79.2743,75.5928
2012-03-30,79.5806,78.9958
2012-02-29,79.8954,83.2342
2012-01-31,71.9794,76.5116
2011-12-30,64.3178,79.9402
2011-11-30,52.9338,59.4864
2011-10-31,51.9696,53.5268
2011-09-30,55.7146,45.7883
2011-08-31,66.7807,56.5937
2011-07-29,77.9662,64.7618
2011-06-30,88.6295,78.9865
2011-05-31,94.6038,90.1505
2011-04-29,97.0413,96.7514
2011-03-31,94.8538,96.9096
2011-02-28,90.9429,97.4629
2011-01-31,86.674,90.1888
2010-12-31,81.805,85.1769
2010-11-30,75.8968,84.6562
2010-10-29,59.8889,75.582
2010-09-30,45.6644,67.4522
2010-08-31,37.3451,36.6326
2010-07-30,45.9999,32.9085
2010-06-30,56.1539,42.4943
2010-05-28,57.2172,62.5969
2010-04-30,53.75,63.3707
2010-03-31,55.5585,45.6839
2010-02-26,69.2894,52.1954
2010-01-29,80.5521,68.7961
2009-12-31,85.3047,86.8767
2009-11-30,83.1032,85.9834
2009-10-30,78.9735,83.054
2009-09-30,72.4344,80.2721
2009-08-31,62.2607,73.5943
2009-07-31,52.8538,63.4369
2009-06-30,43.5605,49.751
2009-05-29,39.4787,45.3735
2009-04-30,38.1293,35.5568
2009-03-31,43.7132,37.5058
2009-02-27,48.197,41.3251
2009-01-30,47.3028,52.3086
2008-12-31,39.4621,50.9573
2008-11-28,29.3754,38.6426
2008-10-31,30.307,28.7863
2008-09-30,40.6874,20.6973
2008-08-29,62.3586,41.4374
2008-07-31,73.7501,59.9276
2008-06-30,76.3701,85.7107
2008-05-30,63.9171,75.6121
2008-04-30,59.1312,67.7874
2008-03-31,57.1531,48.3518
2008-02-29,66.2091,61.2544
2008-01-31,71.0136,61.853
2007-12-31,76.6886,75.5201
2007-11-30,76.7656,75.6677
2007-10-31,77.3948,78.8779
2007-09-28,79.165,75.7512
2007-08-31,84.5186,77.5554
2007-07-31,88.0157,84.1883
2007-06-29,84.9801,91.812
2007-05-31,78.0975,88.0467
2007-04-30,72.3734,75.0817
2007-03-30,75.9405,71.1641
2007-02-28,82.0616,70.8743
2007-01-31,87.5093,85.7831
2006-12-29,85.5208,89.5275
2006-11-30,81.383,87.2173
2006-10-31,79.4766,79.8175
2006-09-29,79.3201,77.1141
2006-08-31,80.4603,81.4984
2006-07-31,75.7301,79.3477
2006-06-30,67.0359,80.5348
2006-05-31,53.4246,67.3077
2006-04-28,41.0935,53.2651
2006-03-31,33.7,39.7009
2006-02-28,29.0548,30.3145
2006-01-31,35.4175,31.0848
2005-12-30,48.65,25.7652
2005-11-30,68.2005,49.4025
2005-10-31,74.9841,70.7823
2005-09-30,68.134,84.4166
2005-08-31,50.6012,69.7534
2005-07-29,39.5668,50.2321
2005-06-30,41.6802,31.818
2005-05-31,57.4865,36.6503
2005-04-29,72.2276,56.5723
2005-03-31,80.0746,79.2368
2005-02-28,79.41,80.8738
2005-01-31,80.9175,80.1131
2004-12-31,83.3426,77.2433
2004-11-30,88.8508,85.3963
2004-10-29,91.6674,87.3882
2004-09-30,90.8665,93.7679
2004-08-31,87.1627,93.846
2004-07-30,82.313,84.9855
2004-06-30,83.4987,82.6566
2004-05-28,85.6707,79.2968
2004-04-30,90.5359,88.5428
2004-03-31,92.0672,89.1724
2004-02-27,92.5606,93.8924
2004-01-30,88.7818,93.1369
2003-12-31,83.8936,90.6526
2003-11-28,78.9461,82.5558
2003-10-31,76.8082,78.4725
2003-09-30,77.5646,75.8101
2003-08-29,73.8011,76.1421
2003-07-31,66.7278,80.7416
2003-06-30,50.4337,64.5197
2003-05-30,39.2455,54.9222
2003-04-30,27.6391,31.8594
2003-03-31,22.0324,30.955
2003-02-28,15.5826,20.103
2003-01-31,13.3385,15.0392
2002-12-31,16.7531,11.6056
2002-11-29,24.1936,13.3707
2002-10-31,37.9069,25.283
2002-09-30,49.9641,33.9271
2002-08-30,61.3974,54.5105
2002-07-31,67.0018,61.4547
2002-06-28,66.6812,68.2271
2002-05-31,62.0295,71.3235
2002-04-30,55.1163,60.4929
2002-03-28,53.0494,54.272
2002-02-28,54.5345,50.5841
2002-01-31,52.2122,54.2922
2001-12-31,49.1117,58.7273
2001-11-30,44.4103,43.617
2001-10-31,47.3917,44.9908
2001-09-28,54.0895,44.623
2001-08-31,65.6066,52.5614
2001-07-31,75.4234,65.0842
2001-06-29,80.2574,79.1743
2001-05-31,74.4023,82.0117
2001-04-30,66.3115,79.5862
2001-03-30,54.3212,61.6088
2001-02-28,47.6256,57.7393
2001-01-31,41.9287,43.6155
2000-12-29,41.7406,41.522
2000-11-30,41.9336,40.6487
2000-10-31,43.5609,43.0512
2000-09-29,49.2915,42.1009
2000-08-31,58.9316,45.5305
